 19  19.50  -0.467  -0.652  -0.014 170.0 171.0 156.0   0.802  215.61
 20  20.50  -0.159  -0.565  -0.046 109.0 104.0 152.0   0.587  195.72
 21  21.50  -0.063  -0.168  -0.060  71.0  61.0  92.0   0.179  200.56
 22  22.50  -0.077  -0.155  -0.044  45.0  42.0  60.0   0.173  206.42
09 22 2021 11 00 00 00000000 01110000  15.9 1534.1 288.9   1.2  -2.5   20.300  24.91     0     0 3  22
  1   1.50   0.038  -0.051  -0.041 116.0 115.0 117.0   0.064  143.31
  2   2.50   0.034  -0.039  -0.026  98.0  97.0  99.0   0.052  138.92
  3   3.50  -0.009  -0.045  -0.039  88.0  86.0  89.0   0.046  191.31
  4   4.50   0.026  -0.098  -0.018  86.0  85.0  87.0   0.101  165.14
  5   5.50  -0.065  -0.102  -0.016  82.0  80.0  83.0   0.121  212.51
  6   6.50  -0.070  -0.065  -0.043  74.0  70.0  75.0   0.096  227.12
  7   7.50  -0.117  -0.102  -0.041  66.0  66.0  69.0   0.155  228.92
  8   8.50  -0.129  -0.106  -0.030  62.0  63.0  65.0   0.167  230.59
  9   9.50  -0.137  -0.090  -0.027  59.0  58.0  60.0   0.164  236.70
 10  10.50  -0.105  -0.101  -0.028  56.0  55.0  57.0   0.146  226.11
 11  11.50  -0.176  -0.154  -0.027  57.0  56.0  58.0   0.234  228.81
 12  12.50  -0.106  -0.086  -0.020  58.0  57.0  59.0   0.136  230.95
 13  13.50  -0.106  -0.081  -0.032  59.0  56.0  56.0   0.133  232.61
 14  14.50  -0.065  -0.125  -0.017  60.0  58.0  58.0   0.141  207.47
 15  15.50  -0.117  -0.203  -0.013  57.0  57.0  60.0   0.234  209.96
 16  16.50  -0.165  -0.170  -0.029  58.0  58.0  57.0   0.237  224.14
 17  17.50  -0.188  -0.185   0.000  82.0  84.0  74.0   0.264  225.46
 18  18.50  -0.522  -0.311  -0.056 136.0 130.0  87.0   0.608  239.21
 19  19.50  -0.764  -0.486  -0.050 172.0 163.0 135.0   0.905  237.54
 20  20.50  -0.386  -0.452  -0.020 105.0 102.0 141.0   0.594  220.50
 21  21.50  -0.263  -0.175  -0.011  57.0  59.0  85.0   0.316  236.36
 22  22.50  -0.160  -0.131  -0.005  38.0  41.0  51.0   0.207  230.69
